time,target
"178,8","0,41293928"
179,"0,41441494"
"179,2","0,41617832"
"179,4","0,416655"
"179,6","0,41263339"
"179,8","0,41856322"
180,"0,4129751"
"180,2","0,41088924"
"180,4","0,41481569"
"180,6","0,41338199"
"180,8","0,41270313"
181,"0,4138476"
"181,2","0,40943146"
"181,4","0,40998724"
"181,6","0,41264039"
"181,8","0,41237217"
182,"0,41120505"
"182,2","0,41133338"
"182,4","0,4106065"
"182,6","0,41292825"
"182,8","0,41021988"
183,"0,40971488"
"183,2","0,41341683"
"183,4","0,40872487"
"183,6","0,40479487"
"183,8","0,40860659"
184,"0,4067041"
"184,2","0,40933555"
"184,4","0,40472502"
"184,6","0,40754575"
"184,8","0,40985897"
185,"0,40537819"
"185,2","0,40808105"
"185,4","0,40681642"
"185,6","0,40311316"
"185,8","0,4119291"
186,"0,40525731"
"186,2","0,4085497"
"186,4","0,4017446"
"186,6","0,40423079"
"186,8","0,40599251"
187,"0,40499231"
"187,2","0,40516207"
"187,4","0,40350148"
"187,6","0,40794107"
"187,8","0,40299797"
188,"0,40244287"
"188,2","0,40708613"
"188,4","0,40390217"
"188,6","0,40565863"
"188,8","0,40673667"
189,"0,4014428"
"189,2","0,40008381"
"189,4","0,40719604"
"189,6","0,40253609"
"189,8","0,39766595"
190,"0,40252066"
"190,2","0,4031707"
"190,4","0,40514883"
"190,6","0,40333563"
"190,8","0,40299392"
191,"0,39973778"
"191,2","0,40206784"
"191,4","0,39823264"
"191,6","0,39714804"
"191,8","0,40048584"
192,"0,40578222"
"192,2","0,39683357"
"192,4","0,3979995"
"192,6","0,3978872"
"192,8","0,39982066"
193,"0,39855123"
"193,2","0,39910689"
"193,4","0,39890623"
"193,6","0,39884278"
"193,8","0,39649558"
194,"0,39612171"
"194,2","0,40086973"
"194,4","0,39559436"
"194,6","0,39761111"
"194,8","0,39528677"
195,"0,39633656"
"195,2","0,39589372"
"195,4","0,39695975"
"195,6","0,39515007"
"195,8","0,39665091"
196,"0,39683715"
"196,2","0,39573884"
"196,4","0,39337936"
"196,6","0,39803013"
"196,8","0,39590728"
197,"0,39645371"
"197,2","0,39425457"
"197,4","0,39733356"
"197,6","0,39357224"
"197,8","0,39930612"
198,"0,39460978"
"198,2","0,38919279"
"198,4","0,39212033"
"198,6","0,39212868"
"198,8","0,39393371"
199,"0,39054766"
"199,2","0,39211553"
"199,4","0,3939594"
"199,6","0,39046234"
"199,8","0,39234513"
200,"0,39184198"
"200,2","0,39606017"
"200,4","0,39056516"
"200,6","0,39161888"
"200,8","0,39137042"
201,"0,39278331"
"201,2","0,38611311"
"201,4","0,39045912"
"201,6","0,38916594"
"201,8","0,3903448"
202,"0,39216897"
"202,2","0,38696206"
"202,4","0,38797241"
"202,6","0,38706341"
"202,8","0,39087871"
203,"0,39221245"
"203,2","0,38556063"
"203,4","0,38986185"
"203,6","0,38806829"
"203,8","0,38686505"
204,"0,38679683"
"204,2","0,38778597"
"204,4","0,38621333"
"204,6","0,38928288"
"204,8","0,38703138"
205,"0,389368"
"205,2","0,38674396"
"205,4","0,38715994"
"205,6","0,38782513"
"205,8","0,38624674"
206,"0,39031258"
"206,2","0,38343278"
"206,4","0,38503894"
"206,6","0,38362929"
"206,8","0,38166764"
207,"0,38372004"
"207,2","0,38248429"
"207,4","0,3848829"
"207,6","0,3821134"
"207,8","0,3833482"
208,"0,38409278"
"208,2","0,38096222"
"208,4","0,3833898"
"208,6","0,38213369"
"208,8","0,38201928"
209,"0,38356608"
"209,2","0,38548511"
"209,4","0,38109145"
"209,6","0,38081443"
"209,8","0,38090467"
210,"0,37963209"
"210,2","0,38494962"
"210,4","0,38429442"
"210,6","0,38281357"
"210,8","0,37962359"
211,"0,38047069"
"211,2","0,38035628"
"211,4","0,37765402"
"211,6","0,38086683"
"211,8","0,37866443"
212,"0,37900132"
"212,2","0,3765929"
"212,4","0,38006988"
"212,6","0,37390712"
"212,8","0,37897164"
213,"0,3755208"
"213,2","0,37894061"
"213,4","0,37682995"
"213,6","0,37436774"
"213,8","0,37898883"
214,"0,3774851"
"214,2","0,378611"
"214,4","0,37496486"
"214,6","0,37818381"
"214,8","0,37839693"
215,"0,37445334"
"215,2","0,38008511"
"215,4","0,37585995"
"215,6","0,37776175"
"215,8","0,3736814"
216,"0,37600034"
"216,2","0,37396744"
"216,4","0,37539014"
"216,6","0,37275511"
"216,8","0,37272248"
217,"0,37518242"
"217,2","0,37287623"
"217,4","0,37636992"
"217,6","0,37077069"
"217,8","0,37232038"
218,"0,37239093"
"218,2","0,37514377"
"218,4","0,37387499"
"218,6","0,36999637"
"218,8","0,37673077"
219,"0,37052804"
"219,2","0,37248912"
"219,4","0,37268868"
"219,6","0,37200144"
"219,8","0,3692728"
220,"0,37456629"
"220,2","0,37012208"
"220,4","0,37268814"
"220,6","0,3721045"
"220,8","0,3693243"
221,"0,37030211"
"221,2","0,37352684"
"221,4","0,36732116"
"221,6","0,37052199"
"221,8","0,37114769"
222,"0,37212777"
"222,2","0,36978322"
"222,4","0,37020016"
"222,6","0,37017471"
"222,8","0,36983168"
223,"0,36571354"
"223,2","0,36209661"
"223,4","0,36285499"
"223,6","0,37040898"
"223,8","0,3684727"
224,"0,3624759"
"224,2","0,3664116"
"224,4","0,36287555"
"224,6","0,36655718"
"224,8","0,36382976"
225,"0,36363617"
"225,2","0,36397144"
"225,4","0,36500525"
"225,6","0,36410743"
"225,8","0,3682802"
226,"0,36688507"
"226,2","0,36498457"
"226,4","0,36420625"
"226,6","0,36234999"
"226,8","0,36876011"
227,"0,36434051"
"227,2","0,36486706"
"227,4","0,36294082"
"227,6","0,36403695"
"227,8","0,35795611"
228,"0,3637132"
"228,2","0,36428636"
"228,4","0,36512572"
"228,6","0,35969117"
"228,8","0,36312851"
229,"0,35856497"
"229,2","0,36095405"
"229,4","0,36142018"
"229,6","0,35771343"
"229,8","0,3616679"
230,"0,36274737"
"230,2","0,35955274"
"230,4","0,36302656"
"230,6","0,35852653"
"230,8","0,36070374"
231,"0,35956597"
"231,2","0,36085483"
"231,4","0,35924231"
"231,6","0,35590699"
"231,8","0,36105233"
232,"0,35811448"
"232,2","0,35792258"
"232,4","0,35727644"
"232,6","0,35437253"
"232,8","0,36020005"
233,"0,35841563"
"233,2","0,35816929"
"233,4","0,35912967"
"233,6","0,35641158"
"233,8","0,35924625"
234,"0,358152"
"234,2","0,35205448"
"234,4","0,35490328"
"234,6","0,35572514"
"234,8","0,35704935"
235,"0,35459104"
"235,2","0,35338089"
"235,4","0,35497218"
"235,6","0,35498244"
"235,8","0,35247388"
236,"0,35514906"
"236,2","0,35617843"
"236,4","0,35522372"
"236,6","0,35690108"
"236,8","0,35588348"
237,"0,35259935"
"237,2","0,35491475"
"237,4","0,35539374"
"237,6","0,3509019"
"237,8","0,35298014"
238,"0,35328904"
"238,2","0,35119575"
"238,4","0,35283816"
"238,6","0,3519986"
"238,8","0,34942719"
239,"0,35223642"
"239,2","0,34911662"
"239,4","0,35118228"
"239,6","0,34786224"
"239,8","0,35100213"
240,"0,35265994"
"240,2","0,34965113"
"240,4","0,35128328"
"240,6","0,35095587"
"240,8","0,3530376"
241,"0,35174936"
"241,2","0,34953645"
"241,4","0,35099399"
"241,6","0,34729174"
"241,8","0,34639129"
242,"0,35155624"
"242,2","0,35111135"
"242,4","0,35006762"
"242,6","0,35030335"
"242,8","0,34792501"
243,"0,34918907"
"243,2","0,34458658"
"243,4","0,34706017"
"243,6","0,34613031"
"243,8","0,35165748"
244,"0,34853947"
"244,2","0,34281147"
"244,4","0,34308818"
"244,6","0,34700069"
"244,8","0,3433845"
245,"0,34593579"
"245,2","0,34212029"
"245,4","0,34759074"
"245,6","0,34446704"
"245,8","0,35097966"
246,"0,34688514"
"246,2","0,34422815"
"246,4","0,34733525"
"246,6","0,34566712"
"246,8","0,3458083"
247,"0,34317118"
"247,2","0,34413919"
"247,4","0,34412667"
"247,6","0,34599364"
"247,8","0,34464157"
248,"0,34004259"
"248,2","0,34119204"
"248,4","0,34310785"
"248,6","0,34374139"
"248,8","0,3399975"
249,"0,34294575"
"249,2","0,34215236"
"249,4","0,34171376"
"249,6","0,34145635"
"249,8","0,34666604"
250,"0,33883139"
"250,2","0,34201518"
"250,4","0,34147215"
"250,6","0,33923295"
"250,8","0,34177676"
251,"0,33790031"
"251,2","0,34400186"
"251,4","0,33905584"
"251,6","0,34262094"
"251,8","0,33958986"
252,"0,33663183"
"252,2","0,33996022"
"252,4","0,33541963"
"252,6","0,34032735"
"252,8","0,34448647"
253,"0,34258276"
"253,2","0,33935869"
"253,4","0,33783513"
"253,6","0,33657679"
"253,8","0,33695284"
254,"0,33970284"
"254,2","0,33680791"
"254,4","0,34099859"
"254,6","0,33714145"
"254,8","0,33898652"
255,"0,33653182"
"255,2","0,33590657"
"255,4","0,33499888"
"255,6","0,33908358"
"255,8","0,33745974"
256,"0,33458745"
"256,2","0,33730835"
"256,4","0,33638901"
"256,6","0,33576044"
"256,8","0,33142975"
257,"0,33530661"
"257,2","0,33444023"
"257,4","0,33514634"
"257,6","0,33064598"
"257,8","0,33257127"
258,"0,33694455"
"258,2","0,33529142"
"258,4","0,33200318"
"258,6","0,33066475"
"258,8","0,33271"
259,"0,33402815"
"259,2","0,33025402"
"259,4","0,32692894"
"259,6","0,33405951"
"259,8","0,33319822"
260,"0,33544669"
"260,2","0,33271885"
"260,4","0,33323848"
"260,6","0,33307546"
"260,8","0,33159253"
261,"0,33073816"
"261,2","0,33009037"
"261,4","0,32930902"
"261,6","0,32684955"
"261,8","0,330576"
262,"0,33399701"
"262,2","0,32900828"
"262,4","0,33252403"
"262,6","0,32596475"
"262,8","0,3309643"
263,"0,33068755"
"263,2","0,32933739"
"263,4","0,32985893"
"263,6","0,33066007"
"263,8","0,32794571"
264,"0,32861963"
"264,2","0,32798564"
"264,4","0,32756114"
"264,6","0,32889086"
"264,8","0,32607254"
265,"0,32511583"
"265,2","0,32720587"
"265,4","0,32733122"
"265,6","0,32565179"
"265,8","0,32418668"
266,"0,32783613"
"266,2","0,32797813"
"266,4","0,32692388"
"266,6","0,32463059"
"266,8","0,32760212"
267,"0,32171118"
"267,2","0,32690379"
"267,4","0,32310358"
"267,6","0,32142505"
"267,8","0,32381707"
268,"0,32558441"
"268,2","0,32509825"
"268,4","0,32276219"
"268,6","0,32081193"
"268,8","0,32033232"
269,"0,32515407"
"269,2","0,32608426"
"269,4","0,3211683"
"269,6","0,32312036"
"269,8","0,32263866"
270,"0,32270136"
"270,2","0,32143727"
"270,4","0,32258761"
"270,6","0,32335171"
"270,8","0,32342315"
271,"0,32303134"
"271,2","0,32577839"
"271,4","0,32036662"
"271,6","0,31731388"
"271,8","0,32826665"
272,"0,32377917"
"272,2","0,32140398"
"272,4","0,32402936"
"272,6","0,32158542"
"272,8","0,3168329"
273,"0,31858709"
"273,2","0,31734291"
"273,4","0,3210597"
"273,6","0,32129174"
"273,8","0,32408175"
274,"0,31928816"
"274,2","0,31883287"
"274,4","0,32136235"
"274,6","0,31868687"
"274,8","0,31831789"
275,"0,3183862"
"275,2","0,31771305"
"275,4","0,31615314"
"275,6","0,31833178"
"275,8","0,31892481"
276,"0,31543264"
"276,2","0,32003617"
"276,4","0,31695434"
"276,6","0,31597966"
"276,8","0,31872433"
277,"0,31626722"
"277,2","0,31697461"
"277,4","0,3201732"
"277,6","0,31712514"
"277,8","0,31702551"
278,"0,31682977"
"278,2","0,31840694"
"278,4","0,31787959"
"278,6","0,31486154"
"278,8","0,3172107"
279,"0,31427062"
"279,2","0,31655401"
"279,4","0,31419933"
"279,6","0,31182486"
"279,8","0,31396282"
280,"0,31396449"
"280,2","0,31128335"
"280,4","0,31186682"
"280,6","0,31007037"
"280,8","0,31675777"
281,"0,31466419"
"281,2","0,30917954"
"281,4","0,31161383"
"281,6","0,31224453"
"281,8","0,3138186"
282,"0,31366894"
"282,2","0,31173575"
"282,4","0,30954921"
"282,6","0,31097645"
"282,8","0,30949754"
283,"0,30945334"
"283,2","0,31016076"
"283,4","0,30992576"
"283,6","0,31159371"
"283,8","0,31075668"
284,"0,31240863"
"284,2","0,3066479"
"284,4","0,31178287"
"284,6","0,31340352"
"284,8","0,31021163"
285,"0,31135654"
"285,2","0,31110072"
"285,4","0,30547532"
"285,6","0,30914447"
"285,8","0,31196013"
286,"0,3129302"
"286,2","0,31000429"
"286,4","0,31056699"
"286,6","0,30596238"
"286,8","0,30894223"
287,"0,30766174"
"287,2","0,30589575"
"287,4","0,30759743"
"287,6","0,30732575"
"287,8","0,30940074"
288,"0,30682451"
"288,2","0,30525166"
"288,4","0,3053619"
"288,6","0,31136638"
"288,8","0,30937973"
289,"0,30672437"
"289,2","0,30308199"
"289,4","0,30729213"
"289,6","0,30515492"
"289,8","0,30770397"
290,"0,30328721"
"290,2","0,30203518"
"290,4","0,30597541"
"290,6","0,30673686"
"290,8","0,3084273"
291,"0,30503675"
"291,2","0,30409828"
"291,4","0,30634278"
